Csr2Coo,Bell-Garland matrices,,
,,,
,,,
,,GiElements/s,
cant,,5.34468,
consph,,5.79985,
cop20k_A,,4.58041,
mac_econ_fwd500,,3.3711,
mc2depi,,4.21598,
pdb1HYS,,5.66851,
pwtk,,6.80393,
rail4284,,6.15234,
rma10,,4.31987,
scircuit,,2.47316,
shipsec1,,5.0256,
webbase_1M,,3.6331,
,,,
,,,
AMD System:,Ubuntu 14.04.2 LTS,,(timmy-linux.amd.com)
