SpM-dV,Bell-Garland matrices,,,,,
,,320 GB/s,,,,
,Linux,1642.5 (VM),,,,1642.5 == 14.50.2
,,w9100,,,,
cant,,96.0199,,,,
consph,,118.862,,,,
cop20k_A,,86.6051,,,,
mac_econ_fwd500,,63.2257,,,,
mc2depi,,114.147,,,,
pdb1HYS,,104.649,,,,
pwtk,,139.115,,,,
rail4284,,98.4723,,,,
rma10,,76.0268,,,,
scircuit,,46.9494,,,,
shipsec1,,100.119,,,,
webbase_1M,,117.437,,,,
