Csr2Dense,Small-MTX,matrices,
,,,
,,,
,,GiElements/s,
Dubcova1,,0.0278669,
hydr1c_A_11,,0.0211048,
hydr1c_A_72,,0.021233,
hydr1c_A_76,,0.0210692,
Maragal_6,,0.0689761,
Na5,,0.223689,
psse1,,0.0103225,
Reuters911,,0.0461601,
Si10H16,,0.0849898,
tomography,,0.195625,
,,,
AMD System:,Ubuntu 14.04.2 LTS,,(timmy-linux.amd.com)
